codigo,descripcion,capitulo
A15.7,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente","Ciertas enfermedades infecciosas y parasitarias"
A15.8,"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente","Ciertas enfermedades infecciosas y parasitarias"
A15.9,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente","Ciertas enfermedades infecciosas y parasitarias"
A16.0,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos","Ciertas enfermedades infecciosas y parasitarias"
A16.1,"Tuberculosis de pulmón, sin examen bacteriológico e histológico","Ciertas enfermedades infecciosas y parasitarias"
A16.2,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica","Ciertas enfermedades infecciosas y parasitarias"
A16.3,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica","Ciertas enfermedades infecciosas y parasitarias"
A16.4,"Tuberculosis de laringe, tráquea y bronquios, sin mención de confirmación bacteriológica o histológica","Ciertas enfermedades infecciosas y parasitarias"
A16.5,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica","Ciertas enfermedades infecciosas y parasitarias"
A16.7,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica","Ciertas enfermedades infecciosas y parasitarias"
A16.8,"Otras tuberculosis respiratorias, sin mención de confirmación","Ciertas enfermedades infecciosas y parasitarias"
A16.9,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica","Ciertas enfermedades infecciosas y parasitarias"
A17.0,"Meningitis tuberculosa (G01)","Ciertas enfermedades infecciosas y parasitarias"
A17.1,"Tuberculoma meníngeo (G07)","Ciertas enfermedades infecciosas y parasitarias"
A17.8,"Otras tuberculosis del sistema nervioso","Ciertas enfermedades infecciosas y parasitarias"
A17.9,"Tuberculosis del sistema nervioso, no especificada (G99.8)","Ciertas enfermedades infecciosas y parasitarias"
A18.0,"Tuberculosis de huesos y articulaciones","Ciertas enfermedades infecciosas y parasitarias"
A18.1,"Tuberculosis del aparato genitourinario","Ciertas enfermedades infecciosas y parasitarias"
A18.2,"Linfadenopatía periférica tuberculosa","Ciertas enfermedades infecciosas y parasitarias"
A18.3,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos","Ciertas enfermedades infecciosas y parasitarias"
A18.4,"Tuberculosis de la piel y el tejido subcutáneo","Ciertas enfermedades infecciosas y parasitarias"
A18.5,"Tuberculosis del ojo","Ciertas enfermedades infecciosas y parasitarias"
A18.6,"Tuberculosis del oído","Ciertas enfermedades infecciosas y parasitarias"
A18.7,"Tuberculosis de glándulas suprarrenales (E35.1)","Ciertas enfermedades infecciosas y parasitarias"
