codigo,descripcion,capitulo
D51.8,"Otras anemias por deficiencia de vitamina B12","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D51.9,"Anemia por deficiencia de vitamina B12, sin otra especificación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D52.0,"Anemia por deficiencia dietética de folatos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D52.1,"Anemia por deficiencia de folatos inducida por drogas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D52.8,"Otras anemias por deficiencia de folatos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D52.9,"Anemia por deficiencia de folatos, sin otra especificación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D53.0,"Anemia por deficiencia de proteínas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D53.1,"Otras anemias megaloblásticas, no clasificadas en otra parte","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D53.2,"Anemia escorbútica","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D53.8,"Otras anemias nutricionales especificadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D53.9,"Anemia nutricional, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D55.0,"Anemia debida a deficiencia de glucosa-6-fosfato deshidrogenasa [G6FD]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D55.1,"Anemia debida a otros trastornos del metabolismo del glutatión","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D55.2,"Anemia debida a trastornos de las enzimas glucolíticas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D55.3,"Anemia debida a trastornos del metabolismo de los nucleótidos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D55.8,"Otras anemias debidas a trastornos enzimáticos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D55.9,"Anemia debida a trastornos enzimáticos, sin otra especificación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.0,"Alfa talasemia","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.1,"Beta talasemia","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.2,"Delta-beta talasemia","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.3,"Rasgo talasémico","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.4,"Persistencia hereditaria de la hemoglobina fetal [PHHF]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.8,"Otras talasemias","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D56.9,"Talasemia, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D57.0,"Anemia falciforme con crisis","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D57.1,"Anemia falciforme sin crisis","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D57.2,"Trastornos falciformes heterocigotos dobles","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D57.3,"Rasgo drepanocítico","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D57.8,"Otros trastornos falciformes","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D58.0,"Esferocitosis hereditaria","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D58.1,"Eliptocitosis hereditaria","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D58.2,"Otras hemoglobinopatías","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D58.8,"Otras anemias hemolíticas hereditarias especificadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D58.9,"Anemia hemolítica hereditaria, sin otra especificación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.0,"Anemia hemolítica autoinmune inducida por drogas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.1,"Otras anemias hemolíticas autoinmunes","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.2,"Anemia hemolítica no autoinmune inducida por drogas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.3,"Síndrome hemolítico-urémico","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.4,"Otras anemias hemolíticas no autoinmunes","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.5,"Hemoglobinuria paroxística nocturna [Marchiafava–Micheli]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.6,"Hemoglobinuria debida a hemólisis por otras causas externas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.8,"Otras anemias hemolíticas adquiridas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D59.9,"Anemia hemolítica adquirida, sin otra especificación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D60.0,"Aplasia crónica adquirida, exclusiva de la serie roja","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D60.1,"Aplasia transitoria adquirida, exclusiva de la serie roja","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D60.8,"Otras aplasias adquiridas, exclusivas de la serie roja","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D60.9,"Aplasia adquirida, exclusiva de la serie roja, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D61.0,"Anemia aplástica constitucional","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D61.1,"Anemia aplástica inducida por drogas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D61.2,"Anemia aplástica debida a otros agentes externos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D61.3,"Anemia aplástica idiopática","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D61.8,"Otras anemias aplásticas especificadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D61.9,"Anemia aplástica, sin otra especificación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D62,"Anemia posthemorrágica aguda","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D63.0,"Anemia en enfermedad neoplásica (C00–D48)","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D63.8,"Anemia en otras enfermedades crónicas clasificadas en otra parte","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.0,"Anemia sideroblástica hereditaria","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.1,"Anemia sideroblástica secundaria a otra enfermedad","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.2,"Anemia sideroblástica secundaria, debida a drogas y toxinas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.3,"Otras anemias sideroblásticas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.4,"Anemia diseritropoyética congénita","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.8,"Otras anemias especificadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D64.9,"Anemia de tipo no especificado","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D65,"Coagulación intravascular diseminada [síndrome de desfibrinación]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D66,"Deficiencia hereditaria del factor VIII","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D67,"Deficiencia hereditaria del factor IX","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.0,"Enfermedad de von Willebrand","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.1,"Deficiencia hereditaria del factor XI","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.2,"Deficiencia hereditaria de otros factores de la coagulación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.3,"Trastorno hemorrágico debido a anticoagulantes circulantes","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.4,"Deficiencia adquirida de factores de la coagulación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.8,"Otros defectos especificados de la coagulación","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D68.9,"Defecto de la coagulación, no especificado","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.0,"Púrpura alérgica","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.1,"Defectos cualitativos de las plaquetas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.2,"Otras púrpuras no trombocitopénicas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.3,"Púrpura trombocitopénica idiopática","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.4,"Otras trombocitopenias primarias","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.5,"Trombocitopenia secundaria","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.6,"Trombocitopenia no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.8,"Otras afecciones hemorrágicas especificadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D69.9,"Afección hemorrágica, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D70,Agranulocitosis,"Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D71,"Trastornos funcionales de los polimorfonucleares neutrófilos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D72.0,"Anomalías genéticas de los leucocitos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D72.1,Eosinofilia,"Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D72.8,"Otros trastornos especificados de los leucocitos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D72.9,"Trastorno de los leucocitos, no especificado","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.0,Hipoesplenismo,"Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.1,Hiperesplenismo,"Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.2,"Esplenomegalia congestiva crónica","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.3,"Absceso del bazo","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.4,"Quiste del bazo","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.5,"Infarto del bazo","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.8,"Otras enfermedades del bazo","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D73.9,"Enfermedad del bazo, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D74.0,"Metahemoglobinemia congénita","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D74.8,"Otras metahemoglobinemias","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D74.9,"Metahemoglobinemia, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D75.0,"Eritrocitosis familiar","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D75.1,"Policitemia secundaria","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D75.2,"Trombocitosis esencial","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D75.8,"Otras enfermedades especificadas de la sangre y de los órganos hematopoyéticos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D75.9,"Enfermedad de la sangre y de los órganos hematopoyéticos, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D76.0,"Histiocitosis de las células de Langerhans, no clasificada en otra parte","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D76.1,"Linfohistiocitosis hemofagocítica","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D76.2,"Síndrome hemofagocítico asociado a infección","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D76.3,"Otros síndromes histiocíticos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D77,"Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas en otra parte","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.0,"Hipogammaglobulinemia hereditaria","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.1,"Hipogammaglobulinemia no familiar","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.2,"Deficiencia selectiva de inmunoglobulina A [IgA]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.3,"Deficiencia selectiva de subclases de la inmunoglobulina G [IgG]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.4,"Deficiencia selectiva de inmunoglobulina M [IgM]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.5,"Inmunodeficiencia con incremento de inmunoglobulina M [IgM]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.6,"Deficiencia de anticuerpos con inmunoglobulinas casi normales o con hiperinmunoglobulinemia","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.7,"Hipogammaglobulinemia transitoria de la infancia","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.8,"Otras inmunodeficiencias con predominio de defectos de los anticuerpos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D80.9,"Inmunodeficiencia con predominio de defectos de los anticuerpos, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.0,"Inmunodeficiencia combinada severa [IDCS] con disgenesia reticular","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.1,"Inmunodeficiencia combinada severa [IDCS] con linfocitopenia T y B","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.2,"Inmunodeficiencia combinada severa [IDCS] con cifra baja o normal de linfocitos B","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.3,"Deficiencia de la adenosina deaminasa [ADA]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.4,"Síndrome de Nezelof","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.5,"Deficiencia de la fosforilasa purinonucleósida [FPN]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.6,"Deficiencia de la clase I del complejo de histocompatibilidad mayor","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.7,"Deficiencia de la clase II del complejo de histocompatibilidad mayor","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.8,"Otras inmunodeficiencias combinadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D81.9,"Inmunodeficiencia combinada, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.0,"Síndrome de Wiskott–Aldrich","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.1,"Síndrome de Di George","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.2,"Inmunodeficiencia con enanismo micromélico [miembros cortos]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.3,"Inmunodeficiencia consecutiva a respuesta defectuosa hereditaria contra el virus de Epstein–Barr","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.4,"Síndrome de hiperinmunoglobulina E [IgE]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.8,"Inmunodeficiencia asociada con otros defectos mayores especificados","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D82.9,"Inmunodeficiencia asociada con defectos mayores no especificados","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D83.0,"Inmunodeficiencia variable común con predominio de anormalidades en el número y la función de los linfocitos B","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D83.1,"Inmunodeficiencia variable común con predominio de trastornos inmunorreguladores de los linfocitos T","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D83.2,"Inmunodeficiencia variable común con autoanticuerpos anti-B o anti-T","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D83.8,"Otras inmunodeficiencias variables comunes","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D83.9,"Inmunodeficiencia variable común, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D84.0,"Defecto de la función del antígeno-1 del linfocito [LFA-1]","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D84.1,"Defecto del sistema del complemento","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D84.8,"Otras inmunodeficiencias especificadas","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D84.9,"Inmunodeficiencia, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D86.0,"Sarcoidosis del pulmón","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D86.1,"Sarcoidosis de los ganglios linfáticos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D86.2,"Sarcoidosis del pulmón y de los ganglios linfáticos","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D86.3,"Sarcoidosis de la piel","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D86.8,"Sarcoidosis de otros sitios especificados o de sitios combinados","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D86.9,"Sarcoidosis de sitio no especificado","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D89.0,"Hipergammaglobulinemia policlonal","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D89.1,Crioglobulinemia,"Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D89.2,"Hipergammaglobulinemia, no especificada","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D89.8,"Otros trastornos especificados que afectan el mecanismo de la inmunidad, no clasificados en otra parte","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
D89.9,"Trastorno que afecta al mecanismo de la inmunidad, no especificado","Enfermedades de la sangre, órganos hematopoyéticos y trastornos de la inmunidad"
E00.0,"Síndrome congénito de deficiencia de yodo, tipo neurológico","Enfermedades endocrinas, nutricionales y metabolicas"
E00.1,"Síndrome de deficiencia congénita de yodo, tipo mixedematoso","Enfermedades endocrinas, nutricionales y metabolicas"
E00.2,"Síndrome congénito de deficiencia de yodo, tipo mixto","Enfermedades endocrinas, nutricionales y metabolicas"
E00.9,"Síndrome congénito de deficiencia de yodo, no especificado","Enfermedades endocrinas, nutricionales y metabolicas"
E01.0,"Bocio difuso (endémico) relacionado con deficiencia de yodo","Enfermedades endocrinas, nutricionales y metabolicas"
E01.1,"Bocio multinodular (endémico) relacionado con deficiencia de yodo","Enfermedades endocrinas, nutricionales y metabolicas"
E01.2,"Bocio (endémico) relacionado con deficiencia de yodo, no especificado","Enfermedades endocrinas, nutricionales y metabolicas"
E01.8,"Otros trastornos de la tiroides relacionados con deficiencia de yodo y afecciones similares","Enfermedades endocrinas, nutricionales y metabolicas"
E02,"Hipotiroidismo subclínico por deficiencia de yodo","Enfermedades endocrinas, nutricionales y metabolicas"
E03.0,"Hipotiroidismo congénito con bocio difuso","Enfermedades endocrinas, nutricionales y metabolicas"
E03.1,"Hipotiroidismo congénito sin bocio","Enfermedades endocrinas, nutricionales y metabolicas"
E03.2,"Hipotiroidismo debido a medicamentos y a otras sustancias exógenas","Enfermedades endocrinas, nutricionales y metabolicas"
E03.3,"Hipotiroidismo postinfeccioso","Enfermedades endocrinas, nutricionales y metabolicas"
E03.4,"Atrofia de tiroides (adquirida)","Enfermedades endocrinas, nutricionales y metabolicas"
E03.5,"Coma mixedematoso","Enfermedades endocrinas, nutricionales y metabolicas"
E03.8,"Otros hipotiroidismos especificados","Enfermedades endocrinas, nutricionales y metabolicas"
E03.9,"Hipotiroidismo, no especificado","Enfermedades endocrinas, nutricionales y metabolicas"
E04.0,"Bocio difuso no tóxico","Enfermedades endocrinas, nutricionales y metabolicas"
E04.1,"Nódulo tiroideo solitario no tóxico","Enfermedades endocrinas, nutricionales y metabolicas"
E04.2,"Bocio multinodular no tóxico","Enfermedades endocrinas, nutricionales y metabolicas"
E04.8,"Otros bocios no tóxicos especificados","Enfermedades endocrinas, nutricionales y metabolicas"
E04.9,"Bocio no tóxico, no especificado","Enfermedades endocrinas, nutricionales y metabolicas"
E05.0,"Tirotoxicosis con bocio difuso","Enfermedades endocrinas, nutricionales y metabolicas"
E05.1,"Tirotoxicosis con nódulo solitario tiroideo tóxico","Enfermedades endocrinas, nutricionales y metabolicas"
E05.2,"Tirotoxicosis con bocio multinodular tóxico","Enfermedades endocrinas, nutricionales y metabolicas"
E05.3,"Tirotoxicosis por tejido tiroideo ectópico","Enfermedades endocrinas, nutricionales y metabolicas"
E05.4,"Tirotoxicosis facticia","Enfermedades endocrinas, nutricionales y metabolicas"
E05.5,"Crisis o tormenta tirotóxica","Enfermedades endocrinas, nutricionales y metabolicas"
E05.8,"Otras tirotoxicosis","Enfermedades endocrinas, nutricionales y metabolicas"
E05.9,"Tirotoxicosis, no especificada","Enfermedades endocrinas, nutricionales y metabolicas"
E06.0,"Tiroiditis aguda","Enfermedades endocrinas, nutricionales y metabolicas"
E06.1,"Tiroiditis subaguda","Enfermedades endocrinas, nutricionales y metabolicas"
E06.2,"Tiroiditis crónica con tirotoxicosis transitoria","Enfermedades endocrinas, nutricionales y metabolicas"
E06.3,"Tiroiditis autoinmune","Enfermedades endocrinas, nutricionales y metabolicas"
E06.4,"Tiroiditis inducida por drogas","Enfermedades endocrinas, nutricionales y metabolicas"
E06.5,"Otras tiroiditis crónicas","Enfermedades endocrinas, nutricionales y metabolicas"
E06.9,"Tiroiditis, no especificada","Enfermedades endocrinas, nutricionales y metabolicas"
E07.0,"Hipersecreción de calcitonina","Enfermedades endocrinas, nutricionales y metabolicas"
E07.1,"Bocio dishormogenético","Enfermedades endocrinas, nutricionales y metabolicas"
E07.8,"Otros trastornos especificados de la glándula tiroides","Enfermedades endocrinas, nutricionales y metabolicas"
E07.9,"Trastorno de la glándula tiroides, no especificado","Enfermedades endocrinas, nutricionales y metabolicas"
E10.0,"Diabetes mellitus insulinodependiente con coma","Enfermedades endocrinas, nutricionales y metabolicas"
E10.1,"Diabetes mellitus insulinodependiente con cetoacidosis","Enfermedades endocrinas, nutricionales y metabolicas"
E10.2,"Diabetes mellitus insulinodependiente con complicaciones renales","Enfermedades endocrinas, nutricionales y metabolicas"
E10.3,"Diabetes mellitus insulinodependiente con complicaciones oftalmicas","Enfermedades endocrinas, nutricionales y metabolicas"
E10.4,"Diabetes mellitus insulinodependiente con complicaciones neurologicas","Enfermedades endocrinas, nutricionales y metabolicas"
E10.5,"Diabetes mellitus insulinodependiente con complicaciones circulatorias perifericas","Enfermedades endocrinas, nutricionales y metabolicas"
E10.6,"Diabetes mellitus insulinodependiente con otras complicaciones especificadas","Enfermedades endocrinas, nutricionales y metabolicas"
E10.7,"Diabetes mellitus insulinodependiente con complicaciones multiples","Enfermedades endocrinas, nutricionales y metabolicas"
E10.8,"Diabetes mellitus insulinodependiente con complicaciones no especificadas","Enfermedades endocrinas, nutricionales y metabolicas"
E10.9,"Diabetes mellitus insulinodependiente sin mencion de complicacion","Enfermedades endocrinas, nutricionales y metabolicas"
E11.0,"Diabetes mellitus no insulinodependiente con coma","Enfermedades endocrinas, nutricionales y metabolicas"
E11.1,"Diabetes mellitus no insulinodependiente con cetoacidosis","Enfermedades endocrinas, nutricionales y metabolicas"
E11.2,"Diabetes mellitus no insulinodependiente con complicaciones renales","Enfermedades endocrinas, nutricionales y metabolicas"
E11.3,"Diabetes mellitus no insulinodependiente con complicaciones oftalmicas","Enfermedades endocrinas, nutricionales y metabolicas"
E11.4,"Diabetes mellitus no insulinodependiente con complicaciones neurologicas","Enfermedades endocrinas, nutricionales y metabolicas"
E11.5,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas","Enfermedades endocrinas, nutricionales y metabolicas"
E11.6,"Diabetes mellitus no insulinodependiente con otras complicaciones especificadas","Enfermedades endocrinas, nutricionales y metabolicas"
E11.7,"Diabetes mellitus no insulinodependiente con complicaciones multiples","Enfermedades endocrinas, nutricionales y metabolicas"
E11.8,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas","Enfermedades endocrinas, nutricionales y metabolicas"
E11.9,"Diabetes mellitus no insulinodependiente sin mencion de complicacion","Enfermedades endocrinas, nutricionales y metabolicas"
E12.0,"Diabetes mellitus asociada con desnutricion con coma","Enfermedades endocrinas, nutricionales y metabolicas"
E12.1,"Diabetes mellitus asociada con desnutricion con cetoacidosis","Enfermedades endocrinas, nutricionales y metabolicas"
E12.2,"Diabetes mellitus asociada con desnutricion con complicaciones renales","Enfermedades endocrinas, nutricionales y metabolicas"
E12.3,"Diabetes mellitus asociada con desnutricion con complicaciones oftalmicas","Enfermedades endocrinas, nutricionales y metabolicas"
E12.4,"Diabetes mellitus asociada con desnutricion con complicaciones neurologicas","Enfermedades endocrinas, nutricionales y metabolicas"
E12.5,"Diabetes mellitus asociada con desnutricion con complicaciones circulatorias perifericas","Enfermedades endocrinas, nutricionales y metabolicas"
E12.6,"Diabetes mellitus asociada con desnutricion con otras complicaciones especificadas","Enfermedades endocrinas, nutricionales y metabolicas"
E12.7,"Diabetes mellitus asociada con desnutricion con complicaciones multiples","Enfermedades endocrinas, nutricionales y metabolicas"
E12.8,"Diabetes mellitus asociada con desnutricion con complicaciones no especificadas","Enfermedades endocrinas, nutricionales y metabolicas"
E12.9,"Diabetes mellitus asociada con desnutricion sin mencion de complicacion","Enfermedades endocrinas, nutricionales y metabolicas"
E13.0,"Otras diabetes mellitus especificadas con coma","Enfermedades endocrinas, nutricionales y metabolicas"
E13.1,"Otras diabetes mellitus especificadas con cetoacidosis","Enfermedades endocrinas, nutricionales y metabolicas"
E13.2,"Otras diabetes mellitus especificadas con complicaciones renales","Enfermedades endocrinas, nutricionales y metabolicas"
E13.3,"Otras diabetes mellitus especificadas con complicaciones oftalmicas","Enfermedades endocrinas, nutricionales y metabolicas"
E13.4,"Otras diabetes mellitus especificadas con complicaciones neurologicas","Enfermedades endocrinas, nutricionales y metabolicas"
E13.5,"Otras diabetes mellitus especificadas con complicaciones circulatorias perifericas","Enfermedades endocrinas, nutricionales y metabolicas"
